wkt_geom,SSC_CODE,SSC_NAME,CONF_VALUE,SQKM
POINT(145.516254 -38.509839),21499,Woolamai,Very good,36.83185787
POINT(144.910902 -37.749808),20470,Essendon,Very good,6.157485737
POINT(144.900409 -37.726907),20471,Essendon Fields,Very poor,3.354922386
POINT(144.901238 -37.738473),20472,Essendon North,Very good,0.732613582
POINT(144.885155 -37.754094),20473,Essendon West,Good,1.026025948
POINT(145.536597 -37.787971),21504,Woori Yallock,Very good,22.81990344
POINT(145.248215 -37.997797),20474,Eumemmerring,Very good,1.0058619
POINT(144.530964 -37.755082),20479,Eynesbury,Acceptable,69.48899647
POINT(145.015814 -37.784514),20480,Fairfield (Vic.),Very good,3.538174202
POINT(144.076463 -38.465565),20481,Fairhaven,Poor,2.477246932
POINT(144.541006 -37.841496),21513,Wyndham Vale,Very good,128.239646
POINT(144.969606 -37.705235),20484,Fawkner,Very good,5.084927468
POINT(145.280482 -37.884278),20486,Ferntree Gully,Very good,13.79614233
POINT(145.335066 -37.875256),20487,Ferny Creek,Very good,5.228919613
POINT(145.093519 -37.725149),21518,Yallambie,Very good,2.967900238
POINT(144.849919 -38.413990),20488,Fingal (Vic.),Very good,21.31115947
POINT(144.979133 -37.801044),20490,Fitzroy (Vic.),Very good,1.377488001
POINT(144.984302 -37.784078),20491,Fitzroy North,Very good,2.504862277
POINT(145.128581 -37.546006),21522,Yan Yean,Poor,33.77695
POINT(144.919333 -37.786758),20492,Flemington,Very good,2.871871402
POINT(144.978276 -38.458355),20493,Flinders (Vic.),Very good,55.1320557
POINT(144.122796 -37.205324),21524,Yandoit,Poor,114.9991927
POINT(145.643965 -38.225275),21525,Yannathan,Very good,36.24728667
POINT(145.302865 -37.331309),20495,Flowerdale (Vic.),Poor,148.8909757
POINT(144.152316 -37.121493),21526,Yapeen,Poor,55.74401403
POINT(144.897319 -37.798129),20496,Footscray,Very good,4.967185113
POINT(145.633185 -37.074581),21527,Yarck,Very poor,367.2706062
POINT(145.171048 -37.839870),20497,Forest Hill (Vic.),Very good,4.070519298
POINT(145.381525 -37.646830),21528,Yarra Glen,Very good,35.17664703
POINT(145.626456 -37.796168),21529,Yarra Junction,Very good,15.69818233
POINT(145.145704 -38.148190),20502,Frankston,Very good,19.74520596
POINT(145.134857 -37.637513),21533,Yarrambat,Very good,15.3454171
POINT(145.163859 -38.123924),20503,Frankston North,Very good,5.118330311
POINT(144.881972 -37.817976),21534,Yarraville,Very good,5.620441176
POINT(145.129465 -38.176449),20504,Frankston South,Very good,14.56052447
POINT(145.364899 -38.350014),20506,French Island,Very good,170.2290381
POINT(145.415311 -37.256303),21537,Yea,Good,220.1697094
POINT(144.249604 -38.270307),20507,Freshwater Creek,Very good,53.55152349
POINT(145.529140 -37.846009),21538,Yellingbo,Very good,42.41500973
POINT(144.246013 -37.161044),20508,Fryerstown,Poor,79.20302041
POINT(143.979280 -37.640983),21540,Yendon,Very good,22.22916666
POINT(144.292337 -38.124850),20510,Fyansford,Very good,24.41247508
POINT(145.009128 -37.898126),20513,Gardenvale,Very good,0.258776809
POINT(144.879856 -37.583617),21544,Yuroke,Poor,20.51134781
POINT(145.674779 -38.100444),20514,Garfield (Vic.),Good,19.26024613
POINT(145.679176 -38.040437),20515,Garfield North,Very good,21.12977201
POINT(144.361764 -38.149960),20518,Geelong,Very good,3.310184222
POINT(144.344930 -38.139371),20519,Geelong West,Very good,2.353319016
POINT(145.633622 -37.945293),20521,Gembrook,Acceptable,208.4393521
POINT(145.835869 -37.938023),20523,Gentle Annie,Very good,193.0398319
POINT(144.103381 -38.311296),20525,Gherang,Very good,28.6016598
POINT(144.229177 -38.097888),20526,Gheringhap,Very poor,61.43221158
POINT(144.568945 -37.511229),20528,Gisborne,Very good,96.6545313
POINT(144.624321 -37.548801),20529,Gisborne South,Very good,17.81832086
POINT(144.894507 -37.689837),20530,Gladstone Park,Very good,3.864269837
POINT(145.642453 -37.839049),20531,Gladysdale,Very good,23.99225987
POINT(145.611505 -38.506247),20532,Glen Alvie,Poor,81.60787408
POINT(145.041353 -37.892371),20533,Glen Huntly,Very good,0.893633668
POINT(145.064606 -37.855796),20534,Glen Iris (Vic.),Very good,8.58581566
POINT(145.168178 -37.881607),20535,Glen Waverley,Very good,16.83945243
POINT(145.428520 -37.404093),20537,Glenburn,Very good,162.6051481
POINT(144.237414 -37.270575),20542,Glenlyon (Vic.),Poor,124.435681
POINT(144.927489 -37.702851),20547,Glenroy (Vic.),Very good,8.84869023
POINT(144.063857 -38.147712),20549,Gnarwarre,Acceptable,159.9595231
POINT(144.821639 -37.308075),20554,Goldie,Poor,100.7882547
POINT(144.123902 -37.528531),20559,Gordon (Vic.),Acceptable,124.2087745
POINT(145.993900 -37.172012),20562,Goughs Bay,Acceptable,232.3864914
POINT(144.897551 -37.702802),20563,Gowanbrae,Good,1.522712051
POINT(145.551746 -38.413503),20566,Grantville,Good,19.58870732
POINT(144.296291 -37.564030),20570,Greendale (Vic.),Very good,20.6396663
POINT(145.107383 -37.698830),20571,Greensborough,Very good,10.17290011
POINT(144.873285 -37.646322),20572,Greenvale (Vic.),Very good,18.26528383
POINT(144.331674 -38.203242),20575,Grovedale,Very good,6.819846924
POINT(145.465489 -37.730119),20576,Gruyere,Very good,54.76259151
POINT(144.165745 -37.149192),20577,Guildford (Vic.),Poor,1.516266946
POINT(145.390593 -38.014263),20580,Guys Hill,Very good,4.122696765
POINT(144.950252 -37.710157),20582,Hadfield,Very good,3.060266141
POINT(145.268662 -38.007197),20583,Hallam,Very good,8.334459415
POINT(145.860653 -38.277085),20584,Hallora,Very poor,58.31659143
POINT(146.009861 -38.358039),20586,Hallston,Very poor,122.7107572
POINT(144.327553 -38.121851),20588,Hamlyn Heights,Very good,2.778148627
POINT(145.009131 -37.937390),20589,Hampton (Vic.),Very good,4.333770536
POINT(145.030657 -37.938532),20590,Hampton East,Good,1.351372991
POINT(145.268601 -38.038599),20591,Hampton Park,Very good,13.3358655
POINT(145.359105 -37.994399),20594,Harkaway,Good,12.99069161
POINT(145.564600 -38.622454),20595,Harmers Haven,Poor,25.32686636
POINT(145.184130 -38.296792),20599,Hastings (Vic.),Very good,25.90645425
POINT(145.031709 -37.824428),20603,Hawthorn (Vic.),Very good,5.730805734
POINT(145.049968 -37.831355),20604,Hawthorn East,Good,3.769033702
POINT(145.272828 -37.371498),20605,Hazeldene,Poor,1.979235556
POINT(145.548693 -37.623887),20609,Healesville,Very good,182.9002192
POINT(145.686833 -38.263938),20610,Heath Hill,Very poor,43.53452835
POINT(145.042107 -37.381715),20612,Heathcote Junction,Good,11.22171506
POINT(145.093194 -37.956066),20613,Heatherton,Very good,7.116953002
POINT(145.243941 -37.830686),20615,Heathmont,Very good,4.489125402
POINT(145.069651 -37.752619),20616,Heidelberg,Very good,2.993463328
POINT(145.052840 -37.745418),20617,Heidelberg Heights,Very good,2.547598001
POINT(145.043601 -37.738141),20618,Heidelberg West,Very good,3.212632173
POINT(144.130985 -37.311034),20619,Hepburn,Acceptable,1.442957124
POINT(144.139124 -37.316636),20620,Hepburn Springs,Acceptable,0.426829294
POINT(144.324065 -38.134265),20621,Herne Hill (Vic.),Very good,1.500413968
POINT(144.655670 -37.351549),20623,Hesket,Poor,55.51911052
POINT(145.039790 -37.950386),20627,Highett,Good,3.934782237
POINT(145.418348 -37.093661),20628,Highlands,Poor,286.1082485
POINT(144.311399 -38.170580),20629,Highton,Very good,11.80632324
POINT(144.741722 -37.690471),20632,Hillside (Melton - Vic.),Very good,8.205010648
POINT(145.198220 -38.381071),20633,Hmas Cerberus,Very good,15.40307511
POINT(145.604736 -37.863945),20634,Hoddles Creek,Very good,60.53412669
POINT(144.501634 -37.695031),20636,Hopetoun Park,Very good,7.42447004
POINT(144.695255 -37.866634),20637,Hoppers Crossing,Very good,18.09913423
POINT(145.081136 -37.899480),20642,Hughesdale,Very good,2.009681194
POINT(145.192835 -37.502245),20643,Humevale,Poor,45.28667733
POINT(145.108474 -37.907657),20645,Huntingdale (Vic.),Very good,0.79794067
POINT(145.194337 -37.637580),20649,Hurstbridge,Very good,14.84189855
POINT(144.701794 -38.137654),20651,Indented Head,Very good,4.08597961
POINT(143.946762 -38.085347),20655,Inverleigh,Good,199.4673939
POINT(145.715892 -38.621509),20656,Inverloch,Very good,121.6768371
POINT(145.688498 -38.154147),20659,Iona,Poor,41.72593762
POINT(145.043078 -37.769033),20663,Ivanhoe (Vic.),Very good,5.050326731
POINT(145.061778 -37.773394),20664,Ivanhoe East,Very good,2.12938478
POINT(144.911107 -37.687781),20665,Jacana,Very good,1.099651307
POINT(144.295181 -38.344546),20669,Jan Juc,Very good,6.089009697
POINT(145.891209 -38.029621),20673,Jindivick,Very good,73.56792729
POINT(145.296841 -38.136355),20676,Junction Village,Very good,2.893078435
POINT(145.411819 -37.901253),20681,Kallista,Very good,9.606698212
POINT(145.372127 -37.819375),20682,Kalorama,Very good,3.362025391
POINT(145.231701 -37.689185),20684,Kangaroo Ground,Very good,31.41898106
POINT(145.879038 -38.403495),20687,Kardella,Poor,37.74721593
POINT(144.828299 -37.737100),20691,Kealba,Very good,2.644259733
POINT(144.825033 -37.711339),20693,Keilor,Very good,5.650245596
POINT(144.804794 -37.720587),20694,Keilor Downs,Very good,5.015549906
POINT(144.856086 -37.738346),20695,Keilor East,Very good,10.15521284
POINT(144.799809 -37.698405),20696,Keilor Lodge,Very good,0.859622642
POINT(144.793026 -37.681619),20697,Keilor North,Very good,7.436472331
POINT(144.850849 -37.718718),20698,Keilor Park,Very good,3.095214672
POINT(144.927068 -37.794332),20700,Kensington (Vic.),Very good,2.146993603
POINT(145.033315 -37.803361),20703,Kew (Vic.),Very good,10.64753295
POINT(145.052776 -37.790443),20704,Kew East,Very good,3.901365832
POINT(145.167342 -38.005338),20705,Keysborough,Very good,21.665282
POINT(145.470076 -38.546394),20710,Kilcunda,Acceptable,2.118277679
POINT(144.927477 -37.306099),20711,Kilmore,Very good,92.6957053
POINT(145.011229 -37.278288),20712,Kilmore East,Very good,55.02336504
POINT(145.317230 -37.814450),20713,Kilsyth,Very good,9.710062997
POINT(145.310976 -37.831484),20714,Kilsyth South,Very good,3.353064586
POINT(145.345949 -37.552705),20716,Kinglake,Good,44.59079932
POINT(145.352347 -37.469809),20717,Kinglake Central,Very good,87.25146984
POINT(145.248512 -37.503075),20718,Kinglake West,Poor,29.95444076
POINT(144.771969 -37.733718),20719,Kings Park (Vic.),Very good,2.528209648
POINT(145.033826 -37.716081),20720,Kingsbury,Very good,1.306426744
POINT(143.972061 -37.399876),20721,Kingston (Vic.),Poor,43.49054837
POINT(144.879432 -37.808855),20722,Kingsville,Very good,0.724858863
POINT(145.249621 -37.889776),20726,Knoxfield,Very good,5.524013966
POINT(145.473253 -38.186788),20729,Koo Wee Rup,Good,77.69084926
POINT(145.952056 -38.559807),20732,Koonwarra,Very good,36.80705514
POINT(145.035831 -37.841363),20734,Kooyong,Very good,0.50811356
POINT(144.332054 -37.516162),20735,Korobeit,Very poor,406.1994995
POINT(145.825977 -38.448728),20738,Korumburra,Very good,85.86281376
POINT(144.139057 -37.428459),20739,Korweinguboora,Acceptable,57.31329367
POINT(145.625097 -38.447011),20742,Krowera,Very poor,67.01104255
POINT(144.590481 -37.664133),20743,Kurunjang,Very good,7.623244449
POINT(144.445850 -37.210031),20745,Kyneton,Very good,155.4748699
POINT(145.791888 -38.036507),20748,Labertouche,Acceptable,73.61941501
POINT(144.030585 -37.677451),20760,Lal Lal,Acceptable,73.19869705
POINT(145.003928 -37.662904),20762,Lalor,Very good,12.06419211
POINT(145.654966 -38.550370),20764,Lance Creek,Poor,33.56390908
POINT(144.702120 -37.252820),20765,Lancefield,Good,161.8165424
POINT(145.582348 -38.277476),20767,Lang Lang,Very good,61.82960747
POINT(145.197427 -38.154571),20769,Langwarrin,Very good,28.84430086
POINT(145.191000 -38.189075),20770,Langwarrin South,Very good,8.77532235
POINT(144.401267 -38.004924),20771,Lara,Very good,89.41985861
POINT(145.569929 -37.775143),20774,Launching Place,Very good,38.40152562
POINT(144.358423 -37.271180),20775,Lauriston,Poor,54.82313807
POINT(144.773407 -37.857230),20776,Laverton (Vic.),Good,1.742477391
POINT(144.787190 -37.830019),20777,Laverton North,Very good,15.46112924
